seloger_quartier,code_postal,Nombre de pièces,Époque de construction,LNM - Loyer de référence,LNM - Loyer de référence majoré,LNM - Loyer de référence minoré,LM - Majoration unitaire du loyer de référence,LM - Loyer de référence,LM - Loyer de référence majoré,LM - Loyer de référence minoré
Mutualité,38000,3,1971-1990,11.296480866297447,13.594929613849585,7.898032118745309,0.7997916855965856,12.096272551894032,14.496064237490618,8.49668918070086
Préfecture,38000,3,1971-1990,11.29805240079531,13.597078601192964,7.899026200397655,0.8,12.098052400795309,14.49805240079531,8.49805240079531
Saint Laurent,38000,3,1971-1990,11.091206775842503,13.28931120692053,7.793102344764476,0.7974989568432248,11.888705732685729,14.286204689528953,8.293707818999279
Abbaye,38100,3,1971-1990,11.089609416745603,13.287174165821057,7.792044667670147,0.7972399592973465,11.88684937604295,14.284089335340296,8.292369457448256
Abry,38100,3,1971-1990,11.093284987780903,13.291606234726132,7.794963740835679,0.7983212469452261,11.891606234726131,14.289927481671358,8.294963740835678
Allies-Clos d'Or,38100,3,1971-1990,11.100579750138877,13.300869625208316,7.8002898750694385,0.8,11.900579750138878,14.300579750138878,8.300579750138878
Arlequin,38100,3,1971-1990,10.81359176380283,12.941989704753539,7.585193822852123,0.7283979409507076,11.541989704753538,13.870387645704247,8.085193822852123
Antiquaire - Notre Dame ,38000,3,après 1990,11.699999999999998,14.0,8.199999999999998,0.7999999999999999,12.499999999999998,15.0,8.8
Berriat-Ampere,38000,3,après 1990,11.7,13.999999999999998,8.2,0.8,12.499999999999998,14.999999999999998,8.8
Centre-ville - Victor Hugo,38000,3,après 1990,11.7,14.0,8.2,0.8,12.5,14.999999999999998,8.8
Championnet-Caserne de Bonne,38000,3,après 1990,11.700000000000001,14.0,8.200000000000001,0.8000000000000002,12.5,15.000000000000002,8.8
Hoche,38000,3,après 1990,11.699999999999998,13.999999999999998,8.199999999999998,0.7999999999999999,12.499999999999998,14.999999999999998,8.799999999999999
Ile Verte,38000,3,après 1990,11.7,14.0,8.2,0.8,12.5,15.0,8.799999999999999
Mutualité,38000,3,après 1990,11.7,13.999999999999998,8.2,0.8,12.5,15.0,8.8
Préfecture,38000,3,après 1990,11.7,14.0,8.2,0.8,12.5,15.0,8.8
Saint Laurent,38000,3,après 1990,11.700000000000001,14.0,8.2,0.8,12.5,15.0,8.8
Abbaye,38100,3,après 1990,11.7,14.0,8.2,0.8,12.5,15.0,8.8
Abry,38100,3,après 1990,11.7,14.000000000000002,8.2,0.8,12.5,15.000000000000002,8.8
Allies-Clos d'Or,38100,3,après 1990,11.7,14.0,8.2,0.8,12.5,15.0,8.8
Arlequin,38100,3,après 1990,11.7,14.0,8.2,0.8,12.5,15.0,8.8
Antiquaire - Notre Dame ,38000,4,avant 1946,10.099583586460003,12.099583586460003,7.099583586460003,0.7,10.799583586460004,12.999375379690006,7.599583586460003
Berriat-Ampere,38000,4,avant 1946,9.904763320433675,11.904727193052008,6.904835575197014,0.7,10.604763320433674,12.70718110803218,7.404799447815345
Centre-ville - Victor Hugo,38000,4,avant 1946,10.09564645147252,12.09564645147252,7.095646451472521,0.6999999999999998,10.795646451472523,12.993469677208783,7.595646451472521
Championnet-Caserne de Bonne,38000,4,avant 1946,10.098009092033092,12.098009092033093,7.098009092033092,0.7,10.798009092033094,12.997013638049639,7.5980090920330925
Hoche,38000,4,avant 1946,9.902503240228382,11.90250324022838,6.902503240228382,0.6999999999999998,10.602503240228382,12.703754860342572,7.402503240228382
Ile Verte,38000,4,avant 1946,10.09120270026149,12.090019922915824,7.0935682549528245,0.7,10.791202700261492,12.987986827737902,7.5923854776071575
Mutualité,38000,4,avant 1946,10.096480866297448,12.096272551894032,7.096897495104275,0.7,10.796480866297447,12.994929613849584,7.596689180700862
Préfecture,38000,4,avant 1946,10.098052400795309,12.098052400795309,7.098052400795309,0.7,10.79805240079531,12.997078601192964,7.598052400795309
Saint Laurent,38000,4,avant 1946,9.891206775842502,11.888705732685729,6.896208862156054,0.7,10.591206775842503,12.689311206920529,7.393707818999278
Abbaye,38100,4,avant 1946,9.889609416745602,11.88684937604295,6.895129498150909,0.7,10.589609416745601,12.687174165821057,7.392369457448256
Abry,38100,4,avant 1946,9.893284987780905,11.891606234726131,6.896642493890453,0.7000000000000001,10.593284987780905,12.69160623472613,7.39496374083568
Allies-Clos d'Or,38100,4,avant 1946,9.900579750138878,11.900579750138878,6.900579750138877,0.7,10.600579750138877,12.700869625208314,7.400579750138877
Arlequin,38100,4,avant 1946,9.61359176380283,11.541989704753538,6.756795881901415,0.7,10.31359176380283,12.341989704753537,7.185193822852122
Antiquaire - Notre Dame ,38000,4,1946-1970,10.598542552610015,12.698334345840015,7.39895896615001,0.7,11.298542552610016,13.598126139070018,7.898958966150011
Berriat-Ampere,38000,4,1946-1970,9.91714127747956,11.919595192459736,6.912269574900879,0.7,10.61714127747956,12.722049107439911,7.412269574900879
Centre-ville - Victor Hugo,38000,4,1946-1970,10.584762580153825,12.682585805890085,7.389116128681304,0.6999999999999998,11.284762580153828,13.580409031626347,7.889116128681304
Championnet-Caserne de Bonne,38000,4,1946-1970,10.593031822115822,12.692036368132369,7.39502273008273,0.7,11.293031822115823,13.591040914148914,7.895022730082731
Hoche,38000,4,1946-1970,9.908761340799337,11.910012960913528,6.906258100570956,0.6999999999999998,10.608761340799337,12.71126458102772,7.406258100570956
Ile Verte,38000,4,1946-1970,10.58458555640889,12.682552461230967,7.389834524110398,0.7,11.284585556408892,13.58051936605305,7.889834524110398
Mutualité,38000,4,1946-1970,10.590391119285451,12.689048181241002,7.39328530977776,0.7,11.290391119285452,13.587705243196554,7.893285309777761
Préfecture,38000,4,1946-1970,10.593183402783582,12.692209603181237,7.395131001988274,0.7,11.293183402783583,13.591235803578892,7.895131001988274
Saint Laurent,38000,4,1946-1970,9.901737276486838,11.90234275072164,6.90302737117401,0.7,10.601737276486839,12.702948224956442,7.4030273711740096
Abbaye,38100,4,1946-1970,9.899513487744102,11.899838277522212,6.90162394889054,0.7,10.599513487744101,12.700163067300318,7.401623948890541
Abry,38100,4,1946-1970,9.898321246945226,11.898321246945226,6.900000000000001,0.7000000000000001,10.598321246945227,12.698321246945225,7.400000000000001
