code_postal,rooms,epoque,furnished,ref,refmaj,refmin
38380,1,1946-1970,meuble,15.5,18.6,10.9
38400,1,1946-1970,meuble,15.500000000716728,18.60000000071673,10.9
38410,1,1946-1970,meuble,15.5,18.6,10.9
38420,1,1946-1970,meuble,15.5,18.6,10.9
38450,1,1946-1970,meuble,15.5,18.6,10.9
38560,1,1946-1970,meuble,15.5,18.6,10.9
38600,1,1946-1970,meuble,15.500000003594208,18.600000003594207,10.9
38610,1,1946-1970,meuble,15.5,18.6,10.9
38640,1,1946-1970,meuble,15.5,18.6,10.9
38650,1,1946-1970,meuble,15.5,18.6,10.9
38660,1,1946-1970,meuble,15.5,18.6,10.9
38700,1,1946-1970,meuble,15.500000046392065,18.600000054237842,10.900000028767845
38760,1,1946-1970,meuble,15.5,18.6,10.9
38800,1,1946-1970,meuble,15.5,18.6,10.9
38950,1,1946-1970,meuble,15.500000002611726,18.60000000261173,10.9
38000,1,1971-1990,non-meuble,15.683172725134153,18.810896974384033,10.955448484930466
38100,1,1971-1990,non-meuble,15.600062536304312,18.70008345194758,10.900041704911242
38120,1,1971-1990,non-meuble,14.800000000658759,17.800000000741104,10.400000000411724
38130,1,1971-1990,non-meuble,14.8,17.8,10.4
38170,1,1971-1990,non-meuble,14.800000010963071,17.800000012333456,10.40000000685192
38180,1,1971-1990,non-meuble,14.800000000000004,17.800000000000004,10.400000000000002
38190,1,1971-1990,non-meuble,14.8,17.8,10.4
38220,1,1971-1990,non-meuble,14.8,17.8,10.4
38240,1,1971-1990,non-meuble,14.8,17.8,10.4
38250,1,1971-1990,non-meuble,14.8,17.8,10.4
38320,1,1971-1990,non-meuble,14.8,17.8,10.4
38330,1,1971-1990,non-meuble,14.8,17.8,10.4
38340,1,1971-1990,non-meuble,14.8,17.8,10.4
38360,1,1971-1990,non-meuble,14.800000005131567,17.80000000577301,10.400000003207229
38380,1,1971-1990,non-meuble,14.8,17.8,10.4
38400,1,1971-1990,non-meuble,14.800000005733823,17.800000006450553,10.400000003583639
38410,1,1971-1990,non-meuble,14.8,17.8,10.4
38420,1,1971-1990,non-meuble,14.8,17.8,10.4
38450,1,1971-1990,non-meuble,14.8,17.8,10.4
38560,1,1971-1990,non-meuble,14.8,17.8,10.4
38600,1,1971-1990,non-meuble,14.800000028753653,17.80000003234786,10.400000017971033
38610,1,1971-1990,non-meuble,14.8,17.8,10.4
38640,1,1971-1990,non-meuble,14.8,17.8,10.4
38650,1,1971-1990,non-meuble,14.8,17.8,10.4
38660,1,1971-1990,non-meuble,14.8,17.8,10.4
38700,1,1971-1990,non-meuble,14.800000044229183,17.800000051392367,10.400000027970146
38760,1,1971-1990,non-meuble,14.8,17.8,10.4
38800,1,1971-1990,non-meuble,14.8,17.8,10.4
38950,1,1971-1990,non-meuble,14.800000020893808,17.800000023505536,10.40000001305863
38000,1,1971-1990,meuble,16.78317272061106,20.110896969860935,11.755448480407372
38100,1,1971-1990,meuble,16.700062494179214,20.000083409822484,11.700041662786143
38120,1,1971-1990,meuble,15.800000000741104,19.000000000823448,11.100000000494068
38130,1,1971-1990,meuble,15.8,19.0,11.1
38170,1,1971-1990,meuble,15.800000012333456,19.00000001370384,11.100000008222302
38180,1,1971-1990,meuble,15.800000000000004,19.000000000000004,11.100000000000001
38190,1,1971-1990,meuble,15.8,19.0,11.1
38220,1,1971-1990,meuble,15.8,19.0,11.1
38240,1,1971-1990,meuble,15.8,19.0,11.1
38250,1,1971-1990,meuble,15.8,19.0,11.1
38320,1,1971-1990,meuble,15.8,19.0,11.1
38330,1,1971-1990,meuble,15.8,19.0,11.1
38340,1,1971-1990,meuble,15.8,19.0,11.1
38360,1,1971-1990,meuble,15.800000005773013,19.000000006414457,11.100000003848674
38380,1,1971-1990,meuble,15.8,19.0,11.1
38400,1,1971-1990,meuble,15.800000006450551,19.000000007167277,11.100000004300366
38410,1,1971-1990,meuble,15.8,19.0,11.1
38420,1,1971-1990,meuble,15.8,19.0,11.1
38450,1,1971-1990,meuble,15.8,19.0,11.1
38560,1,1971-1990,meuble,15.8,19.0,11.1
38600,1,1971-1990,meuble,15.800000032347858,19.000000035942065,11.100000021565238
38610,1,1971-1990,meuble,15.8,19.0,11.1
38640,1,1971-1990,meuble,15.8,19.0,11.1
38650,1,1971-1990,meuble,15.8,19.0,11.1
38660,1,1971-1990,meuble,15.8,19.0,11.1
38700,1,1971-1990,meuble,15.800000048777108,19.00000005594029,11.100000032518071
38760,1,1971-1990,meuble,15.8,19.0,11.1
38800,1,1971-1990,meuble,15.8,19.0,11.1
38950,1,1971-1990,meuble,15.800000023505534,19.00000002611726,11.100000015670355
38000,1,sup1990,non-meuble,16.1445514427,19.34455143365381,11.272275714565358
38100,1,sup1990,non-meuble,16.199957621087176,19.39995753683698,11.299978747355942
38120,1,sup1990,non-meuble,15.100000000905794,18.100000001070484,10.600000000576413
38130,1,sup1990,non-meuble,15.1,18.1,10.6
38170,1,sup1990,non-meuble,15.100000015074222,18.100000017814992,10.600000009592687
38180,1,sup1990,non-meuble,15.100000000000003,18.100000000000005,10.600000000000003
38190,1,sup1990,non-meuble,15.1,18.1,10.6
38220,1,sup1990,non-meuble,15.1,18.1,10.6
38240,1,sup1990,non-meuble,15.1,18.1,10.6
38250,1,sup1990,non-meuble,15.1,18.1,10.6
38320,1,sup1990,non-meuble,15.1,18.1,10.6
38330,1,sup1990,non-meuble,15.1,18.1,10.6
38340,1,sup1990,non-meuble,15.1,18.1,10.6
38360,1,sup1990,non-meuble,15.100000007055902,18.100000008338796,10.60000000449012
38380,1,sup1990,non-meuble,15.1,18.1,10.6
38400,1,sup1990,non-meuble,15.100000007884006,18.100000009317462,10.600000005017094
38410,1,sup1990,non-meuble,15.1,18.1,10.6
38420,1,sup1990,non-meuble,15.1,18.1,10.6
38450,1,sup1990,non-meuble,15.1,18.1,10.6
38560,1,sup1990,non-meuble,15.1,18.1,10.6
38600,1,sup1990,non-meuble,15.10000003953627,18.100000046724684,10.600000025159446
38610,1,sup1990,non-meuble,15.1,18.1,10.6
38640,1,sup1990,non-meuble,15.1,18.1,10.6
38650,1,sup1990,non-meuble,15.1,18.1,10.6
38660,1,sup1990,non-meuble,15.1,18.1,10.6
38700,1,sup1990,non-meuble,15.100000044796666,18.10000005389252,10.60000002922022
38760,1,sup1990,non-meuble,15.1,18.1,10.6
38800,1,sup1990,non-meuble,15.1,18.1,10.6
38950,1,sup1990,non-meuble,15.100000028728985,18.10000003395244,10.600000018282081
38000,1,sup1990,meuble,17.2445514427,20.716827175357743,12.072275710042263
38100,1,sup1990,meuble,17.299957621087177,20.799936536943513,12.099978705230841
38120,1,sup1990,meuble,16.200000000905792,19.400000001152826,11.300000000658759
38130,1,sup1990,meuble,16.2,19.4,11.3
38170,1,sup1990,meuble,16.200000015074224,19.400000019185374,11.300000010963071
38180,1,sup1990,meuble,16.200000000000003,19.400000000000006,11.300000000000004
38190,1,sup1990,meuble,16.2,19.4,11.3
38220,1,sup1990,meuble,16.2,19.4,11.3
38240,1,sup1990,meuble,16.2,19.4,11.3
38250,1,sup1990,meuble,16.2,19.4,11.3
38320,1,sup1990,meuble,16.2,19.4,11.3
38330,1,sup1990,meuble,16.2,19.4,11.3
38340,1,sup1990,meuble,16.2,19.4,11.3
38360,1,sup1990,meuble,16.200000007055902,19.40000000898024,11.300000005131567
38380,1,sup1990,meuble,16.2,19.4,11.3
38400,1,sup1990,meuble,16.200000007884004,19.400000010034187,11.300000005733823
38410,1,sup1990,meuble,16.2,19.4,11.3
38420,1,sup1990,meuble,16.2,19.4,11.3
38450,1,sup1990,meuble,16.2,19.4,11.3
38560,1,sup1990,meuble,16.2,19.4,11.3
38600,1,sup1990,meuble,16.20000003953627,19.400000050318887,11.300000028753653
38610,1,sup1990,meuble,16.2,19.4,11.3
38640,1,sup1990,meuble,16.2,19.4,11.3
38650,1,sup1990,meuble,16.2,19.4,11.3
38660,1,sup1990,meuble,16.2,19.4,11.3
38700,1,sup1990,meuble,16.200000044796663,19.40000005582518,11.300000033768148
38760,1,sup1990,meuble,16.2,19.4,11.3
38800,1,sup1990,meuble,16.2,19.4,11.3
38950,1,sup1990,meuble,16.200000028728986,19.400000036564162,11.300000020893808
38000,2,inf1946,non-meuble,12.149518306572231,14.604966818641273,8.494069794503192
38100,2,inf1946,non-meuble,11.900188830540806,14.300230788202642,8.30014687287897
38120,2,inf1946,non-meuble,12.399999999588275,14.89999999950593,8.699999999670618
38130,2,inf1946,non-meuble,12.4,14.9,8.7
38170,2,inf1946,non-meuble,12.39999999314808,14.899999991777696,8.699999994518464
38180,2,inf1946,non-meuble,12.399999999999999,14.899999999999999,8.699999999999998
38190,2,inf1946,non-meuble,12.4,14.9,8.7
38220,2,inf1946,non-meuble,12.4,14.9,8.7
38240,2,inf1946,non-meuble,12.4,14.9,8.7
38250,2,inf1946,non-meuble,12.4,14.9,8.7
38320,2,inf1946,non-meuble,12.4,14.9,8.7
38330,2,inf1946,non-meuble,12.4,14.9,8.7
38340,2,inf1946,non-meuble,12.4,14.9,8.7
38360,2,inf1946,non-meuble,12.399999996792772,14.899999996151326,8.699999997434217
38380,2,inf1946,non-meuble,12.4,14.9,8.7
38400,2,inf1946,non-meuble,12.399999996416362,14.899999995699634,8.699999997133089
38410,2,inf1946,non-meuble,12.4,14.9,8.7
38420,2,inf1946,non-meuble,12.4,14.9,8.7
38450,2,inf1946,non-meuble,12.4,14.9,8.7
38560,2,inf1946,non-meuble,12.4,14.9,8.7
38600,2,inf1946,non-meuble,12.39999998202897,14.899999978434762,8.699999985623174
38610,2,inf1946,non-meuble,12.4,14.9,8.7
38640,2,inf1946,non-meuble,12.4,14.9,8.7
38650,2,inf1946,non-meuble,12.4,14.9,8.7
38660,2,inf1946,non-meuble,12.4,14.9,8.7
38700,2,inf1946,non-meuble,12.4000000007977,14.900000001480292,8.700000000115107
38760,2,inf1946,non-meuble,12.4,14.9,8.7
38800,2,inf1946,non-meuble,12.4,14.9,8.7
38950,2,inf1946,non-meuble,12.39999998694137,14.899999984329645,8.699999989553096
38000,2,inf1946,meuble,12.9772425648683,15.532691081460435,9.094069794503191
38100,2,inf1946,meuble,12.700209830434272,15.200251830221205,8.900146872878972
38120,2,inf1946,meuble,13.29999999950593,15.999999999341238,9.29999999967062
38130,2,inf1946,meuble,13.3,16.0,9.3
38170,2,inf1946,meuble,13.299999991777696,15.999999989036928,9.299999994518465
38180,2,inf1946,meuble,13.299999999999999,15.999999999999996,9.299999999999999
38190,2,inf1946,meuble,13.3,16.0,9.3
38220,2,inf1946,meuble,13.3,16.0,9.3
38240,2,inf1946,meuble,13.3,16.0,9.3
38250,2,inf1946,meuble,13.3,16.0,9.3
38320,2,inf1946,meuble,13.3,16.0,9.3
38330,2,inf1946,meuble,13.3,16.0,9.3
38340,2,inf1946,meuble,13.3,16.0,9.3
38360,2,inf1946,meuble,13.299999996151326,15.999999994868434,9.299999997434218
38380,2,inf1946,meuble,13.3,16.0,9.3
38400,2,inf1946,meuble,13.299999995699634,15.99999999426618,9.29999999713309
38410,2,inf1946,meuble,13.3,16.0,9.3
38420,2,inf1946,meuble,13.3,16.0,9.3
38450,2,inf1946,meuble,13.3,16.0,9.3
38560,2,inf1946,meuble,13.3,16.0,9.3
38600,2,inf1946,meuble,13.299999978434762,15.99999997124635,9.299999985623176
38610,2,inf1946,meuble,13.3,16.0,9.3
38640,2,inf1946,meuble,13.3,16.0,9.3
38650,2,inf1946,meuble,13.3,16.0,9.3
38660,2,inf1946,meuble,13.3,16.0,9.3
38700,2,inf1946,meuble,13.299999998865033,15.9999999949997,9.300000000115109
38760,2,inf1946,meuble,13.3,16.0,9.3
38800,2,inf1946,meuble,13.3,16.0,9.3
38950,2,inf1946,meuble,13.299999984329645,15.999999979106192,9.299999989553097
38000,2,1946-1970,non-meuble,12.138621286957244,14.566345545253313,8.510897028661178
38100,2,1946-1970,non-meuble,12.000104957342234,14.400125957235701,8.400083957448768
38120,2,1946-1970,non-meuble,12.39999999967062,14.899999999588275,8.699999999752963
38130,2,1946-1970,non-meuble,12.4,14.9,8.7
38170,2,1946-1970,non-meuble,12.399999994518463,14.89999999314808,8.699999995888847
38180,2,1946-1970,non-meuble,12.399999999999999,14.899999999999999,8.699999999999998
38190,2,1946-1970,non-meuble,12.4,14.9,8.7
38220,2,1946-1970,non-meuble,12.4,14.9,8.7
38240,2,1946-1970,non-meuble,12.4,14.9,8.7
38250,2,1946-1970,non-meuble,12.4,14.9,8.7
38320,2,1946-1970,non-meuble,12.4,14.9,8.7
38330,2,1946-1970,non-meuble,12.4,14.9,8.7
38340,2,1946-1970,non-meuble,12.4,14.9,8.7
38360,2,1946-1970,non-meuble,12.399999997434218,14.899999996792772,8.699999998075661
38380,2,1946-1970,non-meuble,12.4,14.9,8.7
38400,2,1946-1970,non-meuble,12.39999999713309,14.899999996416362,8.699999997849817
38410,2,1946-1970,non-meuble,12.4,14.9,8.7
38420,2,1946-1970,non-meuble,12.4,14.9,8.7
38450,2,1946-1970,non-meuble,12.4,14.9,8.7
38560,2,1946-1970,non-meuble,12.4,14.9,8.7
38600,2,1946-1970,non-meuble,12.399999985623175,14.89999998202897,8.69999998921738
38610,2,1946-1970,non-meuble,12.4,14.9,8.7
38640,2,1946-1970,non-meuble,12.4,14.9,8.7
38650,2,1946-1970,non-meuble,12.4,14.9,8.7
38660,2,1946-1970,non-meuble,12.4,14.9,8.7
38700,2,1946-1970,non-meuble,12.39999999488459,14.899999992951924,8.699999996817256
38760,2,1946-1970,non-meuble,12.4,14.9,8.7
38800,2,1946-1970,non-meuble,12.4,14.9,8.7
38950,2,1946-1970,non-meuble,12.399999989553097,14.89999998694137,8.699999992164821
38000,2,1946-1970,meuble,12.966345545253315,15.594069803549381,9.110897028661176
38100,2,1946-1970,meuble,12.800125957235702,15.400146957129168,9.00008395744877
38120,2,1946-1970,meuble,13.299999999588275,15.99999999950593,9.299999999752965
38130,2,1946-1970,meuble,13.3,16.0,9.3
38170,2,1946-1970,meuble,13.29999999314808,15.999999991777695,9.299999995888848
38180,2,1946-1970,meuble,13.299999999999999,15.999999999999998,9.299999999999999
38190,2,1946-1970,meuble,13.3,16.0,9.3
38220,2,1946-1970,meuble,13.3,16.0,9.3
38240,2,1946-1970,meuble,13.3,16.0,9.3
38250,2,1946-1970,meuble,13.3,16.0,9.3
38320,2,1946-1970,meuble,13.3,16.0,9.3
38330,2,1946-1970,meuble,13.3,16.0,9.3
38340,2,1946-1970,meuble,13.3,16.0,9.3
38360,2,1946-1970,meuble,13.299999996792772,15.999999996151326,9.299999998075663
38380,2,1946-1970,meuble,13.3,16.0,9.3
38400,2,1946-1970,meuble,13.299999996416362,15.999999995699634,9.299999997849818
38410,2,1946-1970,meuble,13.3,16.0,9.3
38420,2,1946-1970,meuble,13.3,16.0,9.3
38450,2,1946-1970,meuble,13.3,16.0,9.3
38560,2,1946-1970,meuble,13.3,16.0,9.3
38600,2,1946-1970,meuble,13.29999998202897,15.999999978434762,9.299999989217381
38610,2,1946-1970,meuble,13.3,16.0,9.3
38640,2,1946-1970,meuble,13.3,16.0,9.3
38650,2,1946-1970,meuble,13.3,16.0,9.3
38660,2,1946-1970,meuble,13.3,16.0,9.3
38700,2,1946-1970,meuble,13.299999992951925,15.999999991019257,9.299999996817258
38760,2,1946-1970,meuble,13.3,16.0,9.3
38800,2,1946-1970,meuble,13.3,16.0,9.3
38950,2,1946-1970,meuble,13.299999986941371,15.999999984329644,9.299999992164823
38000,2,1971-1990,non-meuble,12.72179403018378,15.277242537729727,8.938621268864864
38100,2,1971-1990,non-meuble,12.500167662146943,15.000209577683679,8.80010478884184
38120,2,1971-1990,non-meuble,12.5,14.999999999999998,8.8
38130,2,1971-1990,non-meuble,12.5,15.0,8.8
38170,2,1971-1990,non-meuble,12.5,15.0,8.8
38180,2,1971-1990,non-meuble,12.5,15.0,8.8
38190,2,1971-1990,non-meuble,12.5,15.0,8.8
38220,2,1971-1990,non-meuble,12.5,15.0,8.8
38240,2,1971-1990,non-meuble,12.5,15.0,8.8
38250,2,1971-1990,non-meuble,12.5,15.0,8.8
38320,2,1971-1990,non-meuble,12.5,15.0,8.8
38330,2,1971-1990,non-meuble,12.5,15.0,8.8
38340,2,1971-1990,non-meuble,12.5,15.0,8.8
38360,2,1971-1990,non-meuble,12.5,15.0,8.8
38380,2,1971-1990,non-meuble,12.5,15.0,8.8
38400,2,1971-1990,non-meuble,12.5,15.0,8.8
38410,2,1971-1990,non-meuble,12.5,15.0,8.8
38420,2,1971-1990,non-meuble,12.5,15.0,8.8
38450,2,1971-1990,non-meuble,12.5,15.0,8.8
38560,2,1971-1990,non-meuble,12.5,15.0,8.8
38600,2,1971-1990,non-meuble,12.5,15.0,8.8
38610,2,1971-1990,non-meuble,12.5,15.0,8.8
38640,2,1971-1990,non-meuble,12.5,15.0,8.8
38650,2,1971-1990,non-meuble,12.5,15.0,8.8
38660,2,1971-1990,non-meuble,12.5,15.0,8.8
38700,2,1971-1990,non-meuble,12.50000002092207,15.000000026152588,8.800000013076295
38760,2,1971-1990,non-meuble,12.5,15.0,8.8
38800,2,1971-1990,non-meuble,12.5,15.0,8.8
38950,2,1971-1990,non-meuble,12.5,15.0,8.8
38000,2,1971-1990,meuble,13.62179403018378,16.349518283956755,9.538621268864862
38100,2,1971-1990,meuble,13.400167662146945,16.100188619915315,9.40010478884184
38120,2,1971-1990,meuble,13.399999999999999,16.1,9.4
38130,2,1971-1990,meuble,13.4,16.1,9.4
38170,2,1971-1990,meuble,13.4,16.1,9.4
38180,2,1971-1990,meuble,13.4,16.1,9.4
38190,2,1971-1990,meuble,13.4,16.1,9.4
38220,2,1971-1990,meuble,13.4,16.1,9.4
38240,2,1971-1990,meuble,13.4,16.1,9.4
38250,2,1971-1990,meuble,13.4,16.1,9.4
38320,2,1971-1990,meuble,13.4,16.1,9.4
38330,2,1971-1990,meuble,13.4,16.1,9.4
38340,2,1971-1990,meuble,13.4,16.1,9.4
38360,2,1971-1990,meuble,13.4,16.1,9.4
38380,2,1971-1990,meuble,13.4,16.1,9.4
38400,2,1971-1990,meuble,13.4,16.1,9.4
38410,2,1971-1990,meuble,13.4,16.1,9.4
38420,2,1971-1990,meuble,13.4,16.1,9.4
38450,2,1971-1990,meuble,13.4,16.1,9.4
38560,2,1971-1990,meuble,13.4,16.1,9.4
38600,2,1971-1990,meuble,13.4,16.1,9.4
38610,2,1971-1990,meuble,13.4,16.1,9.4
38640,2,1971-1990,meuble,13.4,16.1,9.4
38650,2,1971-1990,meuble,13.4,16.1,9.4
38660,2,1971-1990,meuble,13.4,16.1,9.4
38700,2,1971-1990,meuble,13.40000002092207,16.10000002353733,9.400000013076294
38760,2,1971-1990,meuble,13.4,16.1,9.4
38800,2,1971-1990,meuble,13.4,16.1,9.4
38950,2,1971-1990,meuble,13.4,16.1,9.4
38000,2,sup1990,non-meuble,13.221794048276163,15.877242560345202,9.26634553620712
38100,2,sup1990,non-meuble,13.000167830647339,15.600209788309174,9.100125872985503
38120,2,sup1990,non-meuble,13.39999999967062,16.099999999588274,9.399999999752964
38130,2,sup1990,non-meuble,13.4,16.1,9.4
38170,2,sup1990,non-meuble,13.399999994518463,16.09999999314808,9.399999995888848
38180,2,sup1990,non-meuble,13.399999999999999,16.099999999999998,9.399999999999999
38190,2,sup1990,non-meuble,13.4,16.1,9.4
38220,2,sup1990,non-meuble,13.4,16.1,9.4
38240,2,sup1990,non-meuble,13.4,16.1,9.4
38250,2,sup1990,non-meuble,13.4,16.1,9.4
38320,2,sup1990,non-meuble,13.4,16.1,9.4
38330,2,sup1990,non-meuble,13.4,16.1,9.4
38340,2,sup1990,non-meuble,13.4,16.1,9.4
38360,2,sup1990,non-meuble,13.399999997434218,16.09999999679277,9.399999998075662
38380,2,sup1990,non-meuble,13.4,16.1,9.4
38400,2,sup1990,non-meuble,13.39999999713309,16.099999996416365,9.399999997849818
38410,2,sup1990,non-meuble,13.4,16.1,9.4
38420,2,sup1990,non-meuble,13.4,16.1,9.4
38450,2,sup1990,non-meuble,13.4,16.1,9.4
38560,2,sup1990,non-meuble,13.4,16.1,9.4
38600,2,sup1990,non-meuble,13.399999985623175,16.09999998202897,9.399999989217381
38610,2,sup1990,non-meuble,13.4,16.1,9.4
38640,2,sup1990,non-meuble,13.4,16.1,9.4
38650,2,sup1990,non-meuble,13.4,16.1,9.4
38660,2,sup1990,non-meuble,13.4,16.1,9.4
38700,2,sup1990,non-meuble,13.400000002730367,16.10000000341296,9.400000002047776
38760,2,sup1990,non-meuble,13.4,16.1,9.4
38800,2,sup1990,non-meuble,13.4,16.1,9.4
38950,2,sup1990,non-meuble,13.399999989553097,16.099999986941373,9.399999992164823
38000,2,sup1990,meuble,14.149518302049135,17.004966814118173,9.894069789980096
38100,2,sup1990,meuble,13.900188788415706,16.70023074607754,9.700146830753871
38120,2,sup1990,meuble,14.29999999967062,17.19999999958827,9.999999999752964
38130,2,sup1990,meuble,14.3,17.2,10.0
38170,2,sup1990,meuble,14.299999994518464,17.19999999314808,9.999999995888848
38180,2,sup1990,meuble,14.299999999999999,17.199999999999996,9.999999999999998
38190,2,sup1990,meuble,14.3,17.2,10.0
38220,2,sup1990,meuble,14.3,17.2,10.0
38240,2,sup1990,meuble,14.3,17.2,10.0
38250,2,sup1990,meuble,14.3,17.2,10.0
38320,2,sup1990,meuble,14.3,17.2,10.0
