conseil_de_quartier,prop_at_flood_risk,mean,median,mode,std,mean_delta,median_delta,mode_delta,0.0_delta,0.1_delta,0.25_delta,0.5_delta,0.75_delta,0.9_delta,1.0_delta
FAUBOURG MONTMARTRE,0.040681586918074775,0.040681586918074775,0.0,0.0,0.19755150063692734,0.040681586918074775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CLIGNANCOURT - JULES JOFFRIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GOUTTE D'OR - CHATEAU ROUGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LEGENDRE - LEVIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHAMPERRET - BERTHIER,0.11146368270066541,0.11146368270066541,0.0,0.0,0.3147054656968493,0.11146368270066541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HOCHE - FRIEDLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DAUPHINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SECRETAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JARDIN DES PLANTES,0.5314215027686608,0.5314215027686608,1.0,1.0,0.49901171245148046,-0.46857849723133915,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
LA FOURCHE - GUY MOQUET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHARLES HERMITE - EVANGILE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JEAN MOULIN - PORTE D'ORLEANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
INVALIDES,0.3333539610407668,0.3333539610407668,0.0,0.0,0.4714118132792153,0.3333539610407668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
LOUIS BLANC - AQUEDUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NOTRE - DAME DES CHAMPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ITALIE - PEUPLIERS - RUNGIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JARDIN DE REUILLY,0.3284762497479748,0.3284762497479748,0.0,0.0,0.46965902855101266,0.3284762497479748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
SAINT - VINCENT DE PAUL - LARIBOISIERE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PLATEAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MONTPARNASSE - RASPAIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MUETTE SUD,0.3357684269900999,0.3357684269900999,0.0,0.0,0.47225839370697675,0.3357684269900999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
PASTEUR - MONTPARNASSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GRANGE AUX BELLES - TERRAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BIBLIOTHEQUE - SEINE,0.6597302673675931,0.6597302673675931,1.0,1.0,0.4737997907203814,-0.3402697326324069,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
SENTIER - ARTS ET METIERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHATEAU D'EAU - LANCRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SALPETRIERE - AUSTERLITZ,0.19553185807669987,0.19553185807669987,0.0,0.0,0.3966095694178006,0.19553185807669987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NATIONALE - DEUX MOULINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
