code_postal,prop_at_flood_risk
75001,0.32852189288494177
75002,0.08895462947499025
75003,0.002449065518520444
75004,0.5145973977045081
75005,0.2739135810659096
75006,0.1873404542124973
75007,0.3134405246305481
75008,0.26656195995204135
75009,0.1324634755388029
75010,0.0
75011,0.14910745692978622
75012,0.1415279591851171
75013,0.16095798466309805
75014,0.0
75015,0.4043348329403665
75016,0.13224818732730528
75017,0.01863110025331309
75018,0.0
75019,0.0
75020,0.0
75116,0.13224818732730528
77000,0.07826593771944325
77090,0.0
77100,0.20813766171645673
77111,8.001704139453372e-05
77114,0.0
77115,0.0
77118,0.0
77120,0.0
77122,0.0
77123,0.0
77124,0.01580893132890931
77126,0.0
77127,0.0
77130,0.03661513785536283
77131,0.00012392174410825104
77133,0.0
77134,0.0
77135,0.0
77138,0.14133793271475537
77139,0.0
77140,0.05397923255189846
77141,0.0
77144,0.033803610428825966
77145,0.0
77148,0.0
77150,6.882712009416493e-05
77151,0.0
77154,0.0
77157,0.0
77160,0.0
77163,0.0
77164,0.0
77165,0.0
77166,6.235253729245281e-06
77167,0.015974150192742297
77169,0.0
77170,0.0
77171,0.0
77173,0.0007346680547830785
77174,0.0
77176,0.011345421935332957
77177,7.851499957469479e-05
77178,0.0
77181,0.0
77183,0.0
77184,0.0
77185,0.0
77186,0.06270507804212941
77190,0.019391065294713874
77200,0.25071077165357947
77210,0.02313557705977807
77220,0.0
77230,0.0
77240,0.0073879433359648585
77250,0.05535400118943078
77260,0.0809778858848744
77270,0.0
77280,0.0
77290,0.0
77300,0.0007926360833818204
77310,0.05754291683545591
77320,0.0
77330,0.001717435147558613
77340,0.0
77350,0.12670848304213667
77360,0.27945292439180064
77370,0.0
77380,0.00011503621286854603
77390,4.92676234375831e-06
77400,0.12266728291787475
77410,0.011961531563458286
77420,0.03924534845762743
77430,0.08654740577361218
77440,0.019252089957980237
77450,0.07641829389717493
77460,0.02778490110313978
77470,0.06490681176423628
77480,0.0
77500,0.10501743097230382
77510,0.0
77515,0.0
77520,0.0
77540,8.102495675355579e-05
77550,0.0
77560,0.0
77570,0.0036243231003535714
77580,0.0
77590,0.06161765032604497
77600,0.0
77610,0.0
77620,0.0
77630,0.0
77640,0.002635694737248427
77650,0.0
77660,0.02521945060272554
77670,0.06023618205871557
77680,0.0
77690,0.14724425064535276
77700,0.0035007425139447915
77710,0.0
77720,0.0
77730,0.06836158997920078
77750,0.000807366460234282
77760,0.0
77780,0.26571396457042545
77810,0.16992296167573506
77820,0.0
77830,0.0
77840,0.0
77850,0.018966578770384296
77860,0.0014457251219806625
77870,0.028539408762610054
77880,0.127649261206134
77890,0.0
77910,0.016546511906182147
77920,0.21964754348137727
77930,0.0
77940,0.00013664917767652486
77950,0.0
77970,0.0
77990,0.0
78000,0.0
78100,0.017848956976683997
78110,0.9636222920580392
78111,0.0
78112,0.017848956976683997
78113,0.0
78114,0.0
78117,0.0
78120,0.0
78121,0.0
78124,0.0
78125,0.0
78126,0.0
78130,0.09658710567333895
78140,0.0
78150,0.0
78160,0.0
78170,0.0
78180,0.0
78190,0.0
78200,0.02103778023362212
78210,0.0
78220,0.0
78230,0.455613341868034
78240,0.0
78250,0.05301446573746716
78260,0.373306003379947
78270,0.021931703500445435
78280,0.0
78290,0.7571570004850307
78300,0.11565767238260403
78310,0.0
78320,0.0
78330,0.0
78340,0.0
78350,0.0
78360,0.30447067464146194
78370,0.0
78380,0.2826498317711702
78390,0.0
78400,0.898415493973144
78410,0.025814745497051247
78420,0.5231353144837898
78430,0.027856359131723296
78440,0.005069800077709951
78450,0.0
78460,0.0
78470,0.0
78480,0.06043617168612455
78490,0.0
78500,0.1275082545339975
78510,0.0551624421982928
78520,0.040015718527040695
78530,0.0
78540,0.13865121400178448
78550,0.0
78560,0.26346704063356524
78570,0.09532575903296532
