code_postal,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
75001,14.876702301643668,752.1099187694203,36.35829458292484,35.57203785824789,0.6578128773173944,8.483145989901125,18.931101341786963,47.427817007117056,0.0,0.0,27.706817581922067,7.315445082340219,24.450454347058034,40.52728298867967
75002,16.9569140678742,599.3540676032086,59.995716321950184,32.621757462171374,0.5611194461539863,0.049792169283288897,6.771479013211707,49.592027407097575,0.0,0.0,0.22132721193196067,0.11610947450329259,24.042600441227627,75.61996287233714
75003,15.361179638932919,318.6926658861536,56.231303246063945,32.97160310319697,0.4483585148379928,0.03978607981497547,10.308585561711837,71.49540332607361,0.0,0.0,1.471110522052766,1.6376730791126197,22.738529055526314,74.15268734330834
75004,12.753201258076157,472.2629517422318,38.30033021053319,35.12782124354884,0.6181769586541437,12.831038713781904,13.123766553102618,67.0200876234359,0.1508412013855481,0.0,18.999026020344047,5.8330305695818545,24.087375263267614,50.92972694542092
75005,14.43640332220244,467.26131008785023,38.75277851984598,35.57604897807356,0.49104010700703676,3.0264811789843487,22.153340741514455,74.67320867550063,0.5077082113559481,0.7581075630224707,10.883580522031616,9.953602705437596,23.319507537589672,54.57749346056269
75006,14.088568448412978,362.9152581516441,43.838418941999045,33.87550027654419,0.4637550083587748,1.919918498953188,19.902791480122048,73.11747480699485,0.08107907127300842,0.0,13.514306967223256,0.8112322228752357,24.978440308805805,60.61494142982271
75007,12.736106408649654,428.47441651348754,33.3284220941806,36.269477993483676,0.7599331505775306,4.594781453635478,25.04694373003594,70.11043165430551,0.16530006995888924,0.17166941147788328,19.055644840545444,4.071278037284608,31.902991917443373,44.63311572328982
75008,15.983615730575744,580.7164220451609,43.1348921505155,37.37406899847879,0.5128799636496791,2.0597440385167047,16.918485011999653,68.67944725387525,0.19480766921174497,0.0,9.959578112113936,4.071177590025048,24.282447429611594,61.491989199037675
75009,17.31044267696883,417.55273043041444,57.454860657497576,34.581128257585625,0.4795841383009982,0.04255695425196571,7.441079452179083,62.40617613303485,0.0,0.0,0.5639957451760801,0.21658453335298883,20.726375728431734,78.4930439930392
75010,14.915445027658004,552.9516713281446,49.01631527541738,38.24569176194569,0.4261029749289591,1.2403748990707517,11.071466407663696,69.59920282016823,0.0,0.0,3.287181859393688,3.4899050631651707,30.186599916290845,63.036313161150275
75011,14.440948546809567,347.6365538022967,50.29701846397467,34.676390843732115,0.45149802868209343,0.03977564326529306,14.53572690095963,78.04074499859297,0.0,0.0,2.874954511601909,2.411370921884343,18.070406832761474,76.64326773375225
75012,8.276559965028733,375.838937913176,13.655792552350887,25.936289966809095,1.0286031453195805,2.597652297365205,56.78330220194929,74.8175579299609,1.7342738248940424,0.01090438364581692,57.562606405004345,6.580834576342099,20.832770618088098,13.2786101920256
75013,14.91286241406129,686.9725466617541,31.254971974498787,41.60439240007779,0.5171503523993007,2.588482968091531,24.03510832644575,73.32967178218519,0.9206971005096222,0.18705448026188365,6.562354890940519,22.1216608471399,38.6542834975652,31.553949183582894
75014,13.35669460094403,364.80521018357933,31.657727073322267,38.41154245249727,0.6853098270826254,0.20724738470837312,29.03740178733312,77.5165672805419,1.725661578138908,0.0845691411174994,11.379311449117544,19.804194672123188,27.023686223535062,39.98257693596781
75015,14.285169886800634,427.7072475245986,35.11401677579132,39.43257047648426,0.692043296081742,2.7816463855184796,21.979308814595193,74.51955023334543,1.197556017156268,0.10086961746239201,9.36352291526869,13.68030594560666,33.23932721009466,42.41841829441135
75016,9.478789619763763,311.41243041909144,17.232579208376197,25.982204813478056,1.786746619516102,4.8165593601922705,50.179937568783515,76.10831757578867,2.0811603148598596,0.02426431741355958,53.167589025966585,6.3636591919282575,16.133765160936004,22.229561988895732
75017,15.454524552055116,397.83552802040737,36.955725711136765,44.25875375124515,0.575887900682006,0.21819518061689494,17.991163151325967,72.89599650389708,0.4382235086147256,0.0,6.451397681223186,10.599087002532015,30.894399643509708,51.61689216412039
75018,13.929781667274662,535.9084332763664,34.827897497895236,46.660018412174885,0.4848684250394175,0.05302119828803652,17.97429894839937,69.78661498443503,0.7510533267810112,0.07722845100704089,4.6663589184822944,6.489230975906183,43.68688755767205,44.32924077015142
75019,13.974814287141703,523.1126371632155,30.604198856372367,38.367655666007444,0.6361682082303093,2.495116083381715,27.896449942539604,76.04822315908369,0.4163491221929028,1.1770013646377586,12.283294873929181,20.009655379781954,34.99119925275082,31.122500006707405
75020,13.76584331543919,323.6613781964204,32.3881405464229,36.993986031572874,0.48205511365999487,0.044432761579386124,30.09180346593562,79.14519387238886,1.1073963121295798,1.070714499775157,13.587623142481847,20.226519221136734,24.427028433809042,39.58071839066766
75116,9.478789619763763,311.41243041909144,17.232579208376197,25.982204813478056,1.786746619516102,4.8165593601922705,50.179937568783515,76.10831757578867,2.0811603148598596,0.02426431741355958,53.167589025966585,6.3636591919282575,16.133765160936004,22.229561988895732
77000,4.957236629970511,446.4478232914059,12.09787671211196,33.96947607360012,4.098240326597971,0.04040694862056842,49.793284498715266,61.905804074269305,5.878096581563945,0.0,35.71647021896542,0.0,58.40543319947066,0.0
77090,4.941147579334517,1238.1727780811996,10.061105330587555,22.32823577113413,10.487356585268135,0.46433384114501625,56.657440511930886,62.436092714309666,18.31486370031894,0.0,47.09555177205673,0.0,34.589584527624346,0.0
