seloger_quartier,code_postal,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
Seine et Berges,75004,0.4313351726744619,0.9544796240745754,16.481752587405545,50.026713370631875,0.43157997133044135,49.5417066580377,6.152545370311901,1548.442197127692,0.16674908540192274,18.89861557584576,7.087944032106273,14.625924498255667,1.5057599766077792,2.3574895312394553,1.4637393259507958,2.4091350978370767,2.1024911270705333,1.7340448934035604,5.32698883379803,6.2456711183111695,7436.907205840524,418.0967901025916
Île Saint Louis,75004,0.17720762896071457,1.4912806101203118,17.890314591333656,22.560674619673296,-9.245233450024838e-07,77.43932630485006,6.500000000000001,1600.0,0.15000000000000002,10.156188717290597,10.079797239697369,20.41429594257853,1.9027019480945673,3.0,1.8153118688000434,3.0,2.7348592045885445,2.0000000000000004,6.7180138168946115,7.734859204588545,7155.134522616142,344.139422169162
Île de la Cité,75004,0.39235108424256826,0.6883035816137315,19.585963792791205,38.671339387829555,9.914474700622101,51.414185911548344,6.407137445083769,1597.477533876678,0.16278382882389428,39.62581150199851,8.264814986576061,14.452973720905657,1.7271090717274244,1.9942312142264558,1.4837523496373717,2.637191196994385,1.9540946396626615,1.659934159474379,5.205092635591252,6.251219996131426,22389.227652811955,583.5032839889984
Jardin des Plantes,75005,0.5201310577910774,0.6540904506072728,12.527445541972963,57.578304713851374,1.8921735302833458,40.52952175586527,6.005775272153156,1533.973836330724,0.17447679462028653,14.47427940160894,7.122435501283001,10.752671412902918,1.73725908032643,2.17545225072515,1.5772808708439479,2.225261407612097,2.158371522239438,1.5772808708439479,5.489992201895528,5.960913800695482,73436.60190932437,1251.453925231127
Saint Victor,75005,0.33787192527964444,1.1478108808445544,21.293149598200632,44.24481697926801,1.2421759373352388,54.51300708339675,6.274303836226174,1581.4445875945667,0.15924896165547578,23.199029725870155,8.751020872740503,15.941552282559238,1.8848925669818952,2.483484577628513,1.7042703503813943,2.810521892133341,2.3691040313342446,1.7042703503813943,6.072647494991802,6.88389627384898,31937.685804533947,798.8855455883441
Sorbonne,75005,0.30514374761689755,1.1777827972761723,17.492657639440417,35.39467314091713,1.4928873374127274,63.11243952167015,6.5080971217826065,1587.1823378191712,0.15558213267539087,13.124983092762376,9.906291830707794,16.707523410836608,1.8881394597507437,2.5009539422845366,1.8574056814621756,2.810769969329498,2.3628713714506793,1.8574056814621756,6.246499083497455,7.031047022242352,12925.430299400927,428.2752183037247
Val de Grace,75005,0.36323552804049686,0.9529072806570171,17.724142464956895,43.08164351743275,2.412700547208754,54.505655935358504,6.259345903444143,1596.185938390247,0.15782976630403628,19.867433020520497,9.292970614607237,15.357074964671718,1.9233225274792631,2.7732441893762014,1.8373530650264998,2.7116479907503575,2.614514852637144,1.8373530650264998,6.5339197818819645,7.163515908414,25572.259740266443,805.4156570536891
Monnaie,75006,0.20661293635495626,1.1340033784839338,16.606513026300384,23.146090570704622,1.3631221361425416,75.49078729315285,6.393146302287267,1602.4452368556135,0.15311379267823874,17.571648326840243,10.624829331707378,18.59256209548081,2.117169109626756,2.8704460595163317,1.9862056439153868,2.9742688251175093,2.658966835280082,1.9862056439153868,6.973820813058475,7.6194413043129785,10221.535270126573,458.8344070818438
Notre Dame des Champs,75006,0.29966645352844756,1.066911927818626,18.911193024647897,36.8471840962485,0.34731274091179754,62.8055031628397,6.470277229723149,1593.2624081342385,0.15160509418540122,4.675979923002231,9.302900500417993,16.84307773773508,2.1079660579975363,2.6863647913837627,1.921602322266936,2.932624081342386,2.6863647913837627,1.921602322266936,6.715933171648236,7.540591194993085,21881.373691429922,715.0182085166582
Odéon,75006,0.3699650481019896,1.1109750060485928,16.119909933627,59.770204681642326,1.2125677055685866,39.017227612789085,5.9204728169771315,1506.9900320115457,0.17685845792957222,11.129675389000642,5.655089748648556,11.676167260169155,0.7858110614110281,2.305833722901612,1.5031548758007967,2.1105830173075995,2.1693168120016457,1.5031548758007967,4.594799660113438,5.783054705110043,92369.30031243742,1354.9611030676888
Rennes,75006,0.2521745311272217,1.1300648407458929,20.64066825394522,33.88938484817413,1.5093009413930682e-06,66.11061364252492,6.5,1600.0,0.15,32.8776674124869,10.672880937385498,17.22579092031879,1.9999999999999998,2.979732515998922,1.7653370180838763,3.0,2.697288734767198,1.7653370180838763,6.745069534082798,7.462625752851075,16372.568023767035,522.6341983351749
