seloger_quartier,code_postal,rooms,epoque,furnished,housingType,ref,refmaj,refmin
Les Halles,75001,1,inf1946,meuble,appartement,35.51334085593797,42.616135234800254,24.9093070472379
Palais Royal,75001,1,inf1946,meuble,appartement,38.78182486739823,46.57796864860274,27.187332705247545
Saint Germain l'Auxerrois,75001,1,inf1946,meuble,appartement,38.7958375383421,46.59495459192983,27.197098890359648
Seine et Berges,75001,1,inf1946,meuble,appartement,38.748909805983764,46.534312607693415,27.163507004274116
Vendôme,75001,1,inf1946,meuble,appartement,38.8,46.6,27.2
Montorgueil-Saint Denis,75002,1,inf1946,meuble,appartement,37.4673161135718,44.96077933628616,26.27712127950026
Sentier-Bonne Nouvelle,75002,1,inf1946,meuble,appartement,37.4953574528746,44.99442894344952,26.29675021701222
Vivienne-Gaillon,75002,1,inf1946,meuble,appartement,38.05406138370435,45.68205510617528,26.683547607160534
Archives,75003,1,inf1946,meuble,appartement,37.50061710871143,45.00076296162131,26.300424130221394
Arts et Métiers,75003,1,inf1946,meuble,appartement,37.49414026825704,44.99290664052169,26.29583650639316
Enfants Rouges,75003,1,inf1946,meuble,appartement,37.499862953078775,44.999835354260505,26.29990268721423
Sainte Avoie,75003,1,inf1946,meuble,appartement,37.50662822780414,45.0083388140887,26.304543524281964
Arsenal,75004,1,inf1946,meuble,appartement,38.50005707428689,46.235270381761666,26.98835939013092
Saint Gervais,75004,1,inf1946,meuble,appartement,37.50775612399454,45.00954599876251,26.30536962430391
Saint Merri,75004,1,inf1946,meuble,appartement,38.784191611098365,46.58075931295783,27.189001782858913
Seine et Berges,75004,1,inf1946,meuble,appartement,38.422394369631576,46.13525524201003,26.93858014752781
Île Saint Louis,75004,1,inf1946,meuble,appartement,38.8,46.6,27.2
Île de la Cité,75004,1,inf1946,meuble,appartement,38.695265383182665,46.47109585622483,27.127491419126464
Jardin des Plantes,75005,1,inf1946,meuble,appartement,34.431369873229166,41.33744146159609,24.122262490678764
Saint Victor,75005,1,inf1946,meuble,appartement,37.48511104728963,44.98222931450698,26.28943364646361
Sorbonne,75005,1,inf1946,meuble,appartement,37.501216039912116,45.00149666450722,26.300841873785313
Val de Grace,75005,1,inf1946,meuble,appartement,37.5065524199619,45.00811802324718,26.30444152462088
Monnaie,75006,1,inf1946,meuble,appartement,38.79848210509492,46.59813182165529,27.1989491496811
Notre Dame des Champs,75006,1,inf1946,meuble,appartement,38.09636169512126,45.695959272577724,26.69755111506822
Odéon,75006,1,inf1946,meuble,appartement,38.795871164315464,46.594818466912955,27.197101619628278
Rennes,75006,1,inf1946,meuble,appartement,38.10409447642453,45.70526432683153,26.702924626017516
Saint Germain des Prés,75006,1,inf1946,meuble,appartement,38.79539991864015,46.5940856096802,27.19671422760011
