conseil_de_quartier,rooms,epoque,furnished,housingType,ref,refmaj,refmin
SENTIER - ARTS ET METIERS,1,inf1946,meuble,appartement,37.49992158777355,44.99990544273124,26.299944648844463
CHATEAU D'EAU - LANCRY,1,inf1946,meuble,appartement,33.700418236490385,40.40051049274604,23.600301374500845
SALPETRIERE - AUSTERLITZ,1,inf1946,meuble,appartement,34.032597378595895,40.85466799745576,23.843918542133935
NATIONALE - DEUX MOULINS,1,inf1946,meuble,appartement,32.705466366886355,39.249494839476014,22.908536404707917
NATION - ALEXANDRE DUMAS,1,inf1946,meuble,appartement,34.39977508919053,41.29971849593919,24.099839405592018
BELLEVILLE - SAINT-MAUR,1,inf1946,meuble,appartement,34.037252888662415,40.83361294127337,23.840895267876768
TEMPLE - ENFANTS ROUGES,1,inf1946,meuble,appartement,37.49995014500722,44.99993990886929,26.29996458969816
MARAIS - PLACE DES VOSGES,1,inf1946,meuble,appartement,37.77039378692248,45.33279530769691,26.4871941018036
MONTSOURIS - DAREAU,1,inf1946,meuble,appartement,33.72761508236794,40.43550285825961,23.619724351716837
DUPLEIX - LA MOTTE PICQUET,1,inf1946,meuble,appartement,33.500025223647214,40.20003022994783,23.500016850100383
LEON BLUM - FOLIE-REGNAULT,1,inf1946,meuble,appartement,33.75040138215987,40.46480843407694,23.636002096759427
BASSIN DE LA VILLETTE,1,inf1946,meuble,appartement,31.100008855085623,37.300010557986695,21.800006130443894
COURCELLES - WAGRAM,1,inf1946,meuble,appartement,34.40006341798107,41.30007588875995,24.100044179769412
VIOLET - COMMERCE,1,inf1946,meuble,appartement,33.49978104707433,40.19974690618073,23.499832258414724
PLACE DES FETES,1,inf1946,meuble,appartement,31.100049644027184,37.30005919095548,21.800034368941894
ODEON,1,inf1946,meuble,appartement,38.7999405348376,46.599926812107825,27.199958831810648
MASSENA - JEANNE D'ARC,1,inf1946,meuble,appartement,31.1,37.3,21.8
TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,1,inf1946,meuble,appartement,30.93412679465316,37.104787899800336,21.682903708513912
ALIGRE - GARE DE LYON,1,inf1946,meuble,appartement,33.69993825061593,40.399928680029255,23.599956822175205
ALLERAY - PROCESSION,1,inf1946,meuble,appartement,32.76303748727288,39.351235368811835,22.930740664964446
AUTEUIL NORD,1,inf1946,meuble,appartement,33.50001425327602,40.200014253276024,23.5
VAUGIRARD - PARC DES EXPOSITIONS,1,inf1946,meuble,appartement,32.86496223347724,39.45912260572345,23.023721675107936
BEL - AIR SUD,1,inf1946,meuble,appartement,29.493679092330787,35.41241491079694,20.663701782784933
LOUVRE - OPERA,1,inf1946,meuble,appartement,38.4105761114325,46.123586283814774,26.929679455522784
VALLEE DE FECAMP,1,inf1946,meuble,appartement,31.875134304894225,38.27016116587306,22.283091327328073
CAMBRONNE - GARIBALDI,1,inf1946,meuble,appartement,34.40005383526611,41.30006338135036,24.100038141865923
HALLES - BEAUBOURG - MONTORGUEIL,1,inf1946,meuble,appartement,36.80834641755024,44.17594338168239,25.814360572129644
MUETTE NORD,1,inf1946,meuble,appartement,33.60000996393506,40.30001195672207,23.500007085464926
PORTE DES LILAS,1,inf1946,meuble,appartement,31.094018691109802,37.29288699276597,21.795796872216577
EMERIAU - ZOLA,1,inf1946,meuble,appartement,33.5,40.2,23.5
PORTE SAINT-DENIS - PARADIS,1,inf1946,meuble,appartement,35.499922772128926,42.59990533534025,24.899943949275794
